ID|Title|Director
757|3:10 to Yuma|Daves
758|Tabu|Murnau
759|Taipei Story|Yang
760|A Tale of Tales|Norstein
761|A Tale of the Wind|Ivens
762|The Tales of Hoffmann|Powell, Pressburger
763|A Taste of Cherry...|Kiarostami
764|Taxi Driver|Scorsese
765|Ten|Kiarostami
766|The Ten Commandments|DeMille
767|The Tenant|Polanski
768|The Terminator|Cameron
769|That Obscure Object of Desire|Buñuel
770|Thelma & Louise|Scott
771|There's Always Tomorrow|Sirk
772|They All Laughed|Bogdanovich
773|They Live by Night|N. Ray
774|They Were Expendable|Ford
775|The Thief of Bagdad|Berger, Powell, Whelan et al
776|Thieves Like Us|Altman
777|The Thin Blue Line|Morris
778|The Thing from Another World|Nyby
779|The Third Man|Reed
780|The 39 Steps|Hitchcock
781|Thirty-two Short Films about Glenn Gould|Girard
782|Three Colours Blue|Kieslowski
783|Three Colours Red|Kieslowski
784|Three Colours Trilogy|Kieslowski
785|Three Colours White|Kieslowski
786|The Three Crowns of the Sailor|Ruiz
787|Three Kings|D. Russell
788|Throne of Blood|Kurosawa
789|Through the Olive Trees|Kiarostami
790|Tih Minh|Feuillade
791|A Time for Drunken Horses|Ghobadi
792|Time of the Gypsies|Kusturica
793|The Time to Live and the Time to Die|Hou
794|The Tin Drum|Schlöndorff
795|The Tingler|W. Castle
796|Tirez sur le pianiste|Truffaut
797|Titicut Follies|Wiseman
798|To Be or Not to Be|Lubitsch
799|To Have and Have Not|Hawks
800|To Kill a Mockingbird|Mulligan
801|To Live|Zhang
802|To Sleep with Anger|Burnett
803|Tobacco Road|Ford
804|Toby Dammit|Fellini
805|Tokyo Story|Ozu
806|Topsy-Turvy|Leigh
807|Touch of Evil|Welles
808|A Touch of Zen|Hu
809|Touki-Bouki|Diop Mambéty
810|Trainspotting|Boyle
811|The Travelling Players|Angelopoulos
812|The Treasure of the Sierra Madre|Huston
813|The Tree of the Wooden Clogs|Olmi
814|The Trial|Welles
815|Tristana|Buñuel
816|Triumph of the Will|Riefenstahl
817|Trouble in Paradise|Lubitsch
818|The Trouble with Harry|Hitchcock
819|Two or Three Things I Know about Her|Godard
820|Ugetsu Monogatari|Mizoguchi
821|Umberto D.|De Sica
822|Un(c)ut|Greyson
823|Underground|Kusturica
824|Unforgiven|Eastwood
825|The Unseen|Janek
826|Up the Junction|Loach
827|Urga|Mikhalkov
828|The Usual Suspects|Singer
829|Les Vacances de M. Hulot|Tati
830|Vaghe stelle dell'Orsa|Visconti
831|Les Vampires|Feuillade
832|Vampyr|Dreyer
833|Van Gogh|Pialat
834|Vengeance Is Mine|Imamura
835|Le Vent d'est|Godard
836|The Verdict|Lumet
837|Vertigo|Hitchcock
838|Vidas Secas|Dos Santos
839|Viridiana|Buñuel
840|Vive l'Amour|Tsai
841|Vivre sa vie|Godard
842|Voyage to Italy|Rossellini
843|The Wages of Fear|Clouzot
844|Wagon Master|Ford
845|Waiting for Guffman|Guest
846|War and Peace|Vidor
847|The War Game|Watkins
848|A Wedding in Galilee|Khleifi
849|The Wedding March|von Stroheim
850|Weekend|Godard
851|West Side Story|Wise
852|When a Woman Ascends the Stairs|Naruse
853|When Harry Met Sally...|Reiner
854|When It Rains|Burnett
855|Where Is My Friend's House?|Kiarostami
856|While the City Sleeps|Lang
857|Whispering Pages|Sokurov
858|Whistle down the Wind|Forbes
859|White Heat|Walsh
860|The White Nights|Visconti
861|Who's Singing over There?|Sijan
